"period","stock_date","geography","state","vehicle_type","powertrain","stock","unit","period_type","metric","source_id","market_scope","coverage_status","notes"
2023,"2023-01-31","state:NSW","NSW","light_vehicle","BEV",22829,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NSW","NSW","light_vehicle","HEV_or_PHEV",124418,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NSW","NSW","light_vehicle","ICE",5406521,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NSW","NSW","light_vehicle","total",5553768,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2023,"2023-01-31","state:NT","NT","light_vehicle","BEV",158,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NT","NT","light_vehicle","HEV_or_PHEV",2887,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NT","NT","light_vehicle","ICE",146038,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:NT","NT","light_vehicle","total",149083,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2023,"2023-01-31","state:OTHER","OTHER","light_vehicle","BEV",260,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:OTHER","OTHER","light_vehicle","HEV_or_PHEV",1631,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:OTHER","OTHER","light_vehicle","ICE",46004,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:OTHER","OTHER","light_vehicle","total",47895,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
