"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"VICTORIA","Large SUV","Mazda","Mazda CX-9","ICE",688,487,671,336,662,575,269,147,88,14,0,3,1,0,0,0,0
"NEW SOUTH WALES","Large SUV","Jaguar","Jaguar F-Pace","ICE",13,56,29,18,19,14,35,59,38,34,49,29,26,27,13,8,0
"SOUTH AUSTRALIA","Small SUV","Stellantis","Alfa Romeo Junior","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2
"NEW SOUTH WALES","Small SUV","MINI","MINI Countryman","ICE",53,82,79,42,130,134,78,56,30,106,147,176,115,137,161,115,110
"NORTHERN TERRITORY","Small SUV","Stellantis","Jeep Avenger","BEV",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NORTHERN TERRITORY","Sports Car","Mercedes-Benz Cars","Mercedes-Benz CLE-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SOUTH AUSTRALIA","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"SOUTH AUSTRALIA","People Mover","Mercedes-Benz","Mercedes-Benz EQV","BEV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","People Mover","Kia","Kia Carnival","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
"TASMANIA","Small Car","Ford","Ford Fiesta","ICE",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Bentley","Bentley Bentayga","ICE",0,7,3,2,4,2,3,3,1,3,0,5,2,1,2,5,2
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Volvo Car","Volvo XC60","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NEW SOUTH WALES","Ute (2WD)","Ford","Ford Ranger","ICE",174,174,289,483,561,342,274,283,410,467,277,217,219,210,182,123,118
"VICTORIA","Medium SUV","KGM","KGM Torres","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
"NORTHERN TERRITORY","Medium SUV","Toyota","Toyota RAV4","Hybrid",94,132,62,50,43,98,91,44,94,169,153,100,179,75,100,167,20
"NEW SOUTH WALES","Small SUV","Mercedes-Benz Cars","Mercedes-Benz EQA","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"NEW SOUTH WALES","Small Car","Fiat","Fiat 500 / Abarth","BEV",0,0,0,0,0,0,20,37,21,9,8,14,10,7,18,12,12
"SOUTH AUSTRALIA","Large SUV","Mercedes-Benz Cars","Mercedes-Benz GLE-Class Wagon","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"WESTERN AUSTRALIA","Ute (4WD)","Chevrolet","Chevrolet Silverado","ICE",13,31,40,53,50,35,24,52,45,53,59,54,47,44,44,42,47
"SOUTH AUSTRALIA","Large SUV","Porsche","Porsche Cayenne","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,1,0
