"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"WESTERN AUSTRALIA","Medium SUV","Lexus","Lexus NX","Hybrid",29,24,11,28,11,75,93,66,39,82,72,90,83,66,57,70,81
"SOUTH AUSTRALIA","Large SUV","Land Rover","Land Rover Range Rover Velar","PHEV",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"VICTORIA","Large SUV","Audi","Audi e-tron","BEV",6,10,5,2,7,5,11,14,17,6,17,0,0,0,0,0,0
"WESTERN AUSTRALIA","Ute (2WD)","GWM","GWM Cannon/Cannon Alpha","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,38
"NEW SOUTH WALES","Large SUV","MG","MG IM6","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,32
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","GWM","GWM Haval Jolion","ICE",21,23,24,22,28,22,16,32,33,21,18,32,31,38,41,34,50
"WESTERN AUSTRALIA","Sports Car","Ford","Ford Mustang","ICE",32,19,36,43,39,58,21,3,2,1,34,68,99,114,66,44,63
"WESTERN AUSTRALIA","Large SUV","Lexus","Lexus GX","ICE",0,0,0,0,0,0,0,0,0,0,13,38,24,15,19,37,25
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Lexus","Lexus RX","Hybrid",5,5,4,0,5,9,7,6,3,6,5,5,2,5,9,3,4
"VICTORIA","Sports Car","Rolls-Royce","Rolls-Royce Coupe/Conv","BEV",0,0,0,0,0,0,0,1,0,3,0,1,1,1,0,3,0
"NEW SOUTH WALES","Small Car","Toyota","Toyota Yaris","Hybrid",40,54,74,65,48,35,45,60,25,134,117,78,180,206,197,118,117
"VICTORIA","Large SUV","Volvo Car","Volvo EX90","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"NEW SOUTH WALES","Small SUV","MG","MG ZS","Hybrid",0,0,0,0,0,0,0,0,0,0,0,59,311,330,272,356,341
"TASMANIA","Small Car","Mitsubishi","Mitsubishi Mirage","ICE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TASMANIA","Small SUV","Chery","Chery Tiggo 4 Pro","ICE",0,0,0,0,0,0,0,0,0,0,0,45,76,99,130,172,156
"NORTHERN TERRITORY","Small SUV","Toyota","Toyota Yaris Cross","Hybrid",26,10,9,25,11,4,11,11,16,7,6,9,16,19,17,22,17
"TASMANIA","Small SUV","Hyundai","Hyundai Kona","Hybrid",0,0,0,0,0,0,0,14,20,13,24,20,13,48,42,30,51
"TASMANIA","Large SUV","Mazda","Mazda CX-9","ICE",10,11,11,7,14,23,6,0,1,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Small SUV","MG","MG S5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
"SOUTH AUSTRALIA","Large SUV","Audi","Audi Q7","ICE",6,11,6,13,13,18,9,15,4,2,9,6,13,14,13,7,10
"NEW SOUTH WALES","Sports Car","Porsche","Porsche 911","ICE",37,76,31,45,29,56,77,44,102,66,85,45,41,71,80,94,129
"VICTORIA","Medium Car","MG","MG MG7","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"VICTORIA","Small SUV","Volkswagen","Volkswagen T-Roc","ICE",284,45,276,379,451,823,514,741,531,707,519,576,448,319,307,300,204
"WESTERN AUSTRALIA","Sports Car","Nissan","Nissan 370Z","ICE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Chery","Chery Tiggo 8 Pro","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,60,48
"WESTERN AUSTRALIA","Large SUV","BMW","BMW X7","ICE",13,20,5,1,11,11,10,6,12,8,8,6,7,13,14,13,8
"VICTORIA","Medium SUV","Citroen","Citroen C5 Aircross","ICE",12,7,0,11,0,3,2,3,2,2,9,1,0,0,0,0,0
"NORTHERN TERRITORY","Ute (2WD)","Mitsubishi","Mitsubishi Triton","ICE",5,7,4,4,1,6,4,2,2,8,7,1,2,1,4,6,4
"NEW SOUTH WALES","Large SUV","Lamborghini","Lamborghini Urus","ICE",6,0,12,2,1,6,9,6,4,8,9,3,8,9,9,9,8
"TASMANIA","Medium SUV","BYD","BYD Atto 3","BEV",0,0,0,67,59,97,40,59,45,37,34,16,16,11,13,22,17
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","Toyota","Toyota Tundra","Hybrid",0,0,0,0,0,0,0,1,5,0,0,3,6,2,3,1,6
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Lexus","Lexus NX","Hybrid",9,9,3,7,3,9,32,16,21,18,16,25,17,26,15,14,3
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLC-Class Coupe","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SOUTH AUSTRALIA","Sports Car","Mercedes-Benz","Mercedes-Benz C-Class Cpe/Conv","ICE",12,17,19,7,11,11,21,9,4,1,0,0,0,0,0,0,0
"VICTORIA","Medium Car","Mercedes-Benz Cars","Mercedes-Benz C-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"NEW SOUTH WALES","People Mover","LDV","LDV Mifa9","BEV",0,0,0,2,2,4,1,1,0,0,4,10,2,0,0,0,0
"TASMANIA","Medium SUV","Lexus","Lexus NX","Hybrid",1,1,5,3,2,11,7,7,8,8,7,5,7,7,7,6,4
"SOUTH AUSTRALIA","Medium Car","Toyota","Toyota Camry","Hybrid",384,130,290,93,125,194,421,332,364,684,321,134,181,287,306,224,247
"TASMANIA","Medium SUV","Nissan","Nissan X-Trail","ICE",31,29,40,23,38,24,31,43,55,36,30,218,64,44,42,109,57
"NEW SOUTH WALES","Large Car","Mercedes-Benz","Mercedes-Benz E-Class","PHEV",3,0,2,3,0,1,0,0,0,0,0,0,4,12,14,6,0
"SOUTH AUSTRALIA","Sports Car","Nissan","Nissan Z","ICE",0,0,0,4,9,6,16,4,8,7,7,3,2,4,1,1,1
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Peugeot","Peugeot 2008","ICE",2,3,1,3,1,1,1,1,1,0,1,0,2,1,0,0,0
"TASMANIA","Small Car","Audi","Audi A3","ICE",1,5,7,6,6,5,6,8,5,7,4,1,4,6,7,8,6
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLB-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VICTORIA","Ute (2WD)","Ford","Ford Ranger","ICE",273,259,484,560,567,399,383,304,520,359,287,295,259,279,226,213,224
"TASMANIA","Sports Car","Porsche","Porsche Boxster","ICE",0,2,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0
"VICTORIA","Van","Volkswagen","Volkswagen Caddy Cargo Van","ICE",0,0,0,0,0,0,0,0,0,59,53,49,72,56,69,43,41
"QUEENSLAND","Medium Car","Skoda","Skoda Octavia","ICE",64,46,5,21,45,51,45,33,34,40,19,13,11,52,19,13,19
"VICTORIA","Medium SUV","Volkswagen","Volkswagen Tiguan","ICE",82,215,210,279,425,785,507,341,314,433,279,275,223,346,292,249,215
"NORTHERN TERRITORY","Large SUV","Lexus","Lexus GX","ICE",0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,4,1
"NEW SOUTH WALES","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","BEV",0,0,0,0,1,1,1,2,1,0,1,4,5,6,10,1,0
"QUEENSLAND","Large Car","Porsche","Porsche Panamera","PHEV",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
"SOUTH AUSTRALIA","Large SUV","Mercedes-Benz Cars","Mercedes-Benz GLS-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"WESTERN AUSTRALIA","Large Car","Porsche","Porsche Taycan","BEV",16,9,4,4,8,10,5,13,13,1,3,4,6,3,0,3,0
"QUEENSLAND","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLB-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Volvo","Volvo XC60","PHEV",0,3,4,5,5,10,4,7,5,8,13,6,1,5,4,8,0
"NORTHERN TERRITORY","Medium SUV","Volkswagen","Volkswagen ID.5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","Mercedes-Benz","Mercedes-Benz CLA-Class","ICE",2,4,1,3,3,4,2,2,3,3,3,3,0,0,0,7,0
"VICTORIA","Sports Car","Ferrari","Ferrari Coupe/Conv","ICE",12,13,7,7,6,11,5,3,10,3,4,0,2,2,6,9,2
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mercedes-Benz","Mercedes-Benz EQC","BEV",3,1,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0
"QUEENSLAND","Small Car","Toyota","Toyota Yaris","ICE",171,147,60,152,94,69,94,135,56,130,58,16,35,33,27,28,25
"VICTORIA","Medium Car","Toyota","Toyota Camry","ICE",100,102,118,78,42,38,25,31,30,101,165,26,9,1,1,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Audi","Audi Q5","ICE",21,19,4,7,20,15,15,12,6,1,3,6,13,5,6,20,2
"SOUTH AUSTRALIA","Large Car","Mercedes-Benz","Mercedes-Benz EQS","BEV",0,0,3,2,0,0,3,2,0,0,0,1,0,1,0,0,0
"QUEENSLAND","Large SUV","SsangYong","KGM Rexton","ICE",73,118,84,155,117,133,122,120,112,103,73,107,99,0,0,0,0
"TASMANIA","Medium SUV","SsangYong","KGM Korando","ICE",0,4,13,7,14,15,10,15,7,12,4,2,2,0,0,0,0
"VICTORIA","Van","Peugeot","Peugeot Partner","BEV",0,0,0,0,0,0,8,8,7,11,8,0,7,0,0,0,0
"VICTORIA","Small SUV","Hyundai","Hyundai Inster","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,32,43
"NEW SOUTH WALES","Small Car","Suzuki","Suzuki Swift","ICE",187,341,336,288,348,387,542,369,363,335,417,457,281,250,200,200,202
"SOUTH AUSTRALIA","Medium SUV","Chery","Chery Tiggo 7 Pro","ICE",0,0,0,0,0,0,0,46,35,38,47,40,27,72,99,96,97
"SOUTH AUSTRALIA","Small SUV","Nissan","Nissan Qashqai","Hybrid",0,0,0,0,0,0,0,0,14,15,24,9,17,18,13,10,10
"VICTORIA","Small SUV","Leapmotor","Leapmotor B10","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,68
"NEW SOUTH WALES","Large SUV","Volkswagen","Volkswagen Tayron","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,202,216
"QUEENSLAND","Small SUV","Subaru","Subaru XV","ICE",354,352,446,406,199,26,1,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Medium SUV","Land Rover","Land Rover Range Rover Evoque","PHEV",0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,0,0
"QUEENSLAND","Sports Car","Aston Martin","Aston Martin Coupe/Conv","ICE",2,9,3,4,3,6,4,5,4,5,3,6,7,5,4,7,2
"WESTERN AUSTRALIA","Ute (4WD)","RAM","RAM 1500","ICE",70,147,115,147,147,222,161,80,78,92,94,122,93,94,83,82,66
"QUEENSLAND","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Wagon","ICE",130,193,160,85,97,131,183,125,90,116,118,103,127,157,124,81,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","BMW","BMW X4","ICE",2,2,2,0,3,1,6,1,1,4,1,1,1,2,1,0,0
"NEW SOUTH WALES","Small SUV","Jeep","Jeep Compass","ICE",102,177,147,109,98,115,68,78,50,39,15,7,6,2,4,2,2
"SOUTH AUSTRALIA","Large Car","Mercedes-Benz Cars","Mercedes-Benz E-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","People Mover","Hyundai","Hyundai iMAX","ICE",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Small Car","Mitsubishi","Mitsubishi Mirage","ICE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUEENSLAND","Medium SUV","Mitsubishi","Mitsubishi Outlander","PHEV",11,5,39,15,18,30,61,321,276,309,464,424,455,108,140,143,184
"VICTORIA","Sports Car","Toyota","Toyota Supra","ICE",23,16,4,10,8,27,20,28,26,18,13,11,13,20,22,8,9
"WESTERN AUSTRALIA","Large SUV","Land Rover","Land Rover Range Rover Sport","ICE",45,43,8,1,27,49,74,44,26,65,30,30,41,46,50,36,17
"VICTORIA","Medium Car","Audi","Audi A4","ICE",37,36,40,33,56,73,66,41,31,49,49,30,4,1,0,0,0
"QUEENSLAND","Small Car","MINI","MINI Cooper","BEV",0,0,0,0,0,0,0,0,0,0,43,27,34,22,16,21,26
"QUEENSLAND","Small Car","MG","MG MG3","ICE",1066,1129,786,1127,1085,841,1008,751,615,775,832,678,577,483,442,362,432
"WESTERN AUSTRALIA","Large SUV","Chery","Chery Tiggo 8 Pro","ICE",0,0,0,0,0,0,0,0,0,9,61,68,54,64,60,41,41
"WESTERN AUSTRALIA","Small SUV","Toyota","Toyota Corolla Cross","ICE",0,0,0,57,46,52,80,59,38,26,15,45,4,0,0,0,0
"VICTORIA","Medium SUV","Genesis","Genesis GV70","ICE",29,27,28,23,33,98,67,65,44,45,38,42,45,69,51,61,54
"WESTERN AUSTRALIA","Small SUV","Volvo Car","Volvo EX30","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"VICTORIA","Sports Car","BMW","BMW 2 Series Coupe/Conv","ICE",69,17,47,87,33,144,91,126,102,159,98,108,64,123,104,74,94
"QUEENSLAND","Sports Car","Subaru","Subaru BRZ","ICE",57,43,70,97,98,102,118,63,63,74,45,54,40,53,47,34,54
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Suzuki","Suzuki S-Cross","ICE",1,1,2,1,0,0,2,0,0,0,2,0,1,2,0,1,0
"NEW SOUTH WALES","Large SUV","Mercedes-Benz Cars","Mercedes-Benz G-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"NORTHERN TERRITORY","Ute (4WD)","Ford","Ford Ranger","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3
"NORTHERN TERRITORY","Ute (4WD)","Mazda","Mazda BT-50","ICE",262,194,162,25,36,62,50,43,41,47,59,23,41,42,28,26,22
"TASMANIA","Medium SUV","GWM","Haval H6","Hybrid",0,0,0,0,0,1,1,9,7,4,6,5,9,5,4,8,0
"QUEENSLAND","Sports Car","Mercedes-Benz Cars","Mercedes-AMG GT Cpe/Conv","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SOUTH AUSTRALIA","Sports Car","BMW","BMW 8 Series","ICE",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TASMANIA","Sports Car","Lotus","Lotus Exige","ICE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Large SUV","Mercedes-Benz","Mercedes-Benz G-Class","ICE",12,104,32,5,14,30,52,41,34,34,17,42,27,31,49,49,0
"SOUTH AUSTRALIA","Small Car","CUPRA","CUPRA Born","BEV",0,0,0,0,0,8,34,21,8,11,4,7,12,14,0,0,0
"VICTORIA","People Mover","Hyundai","Hyundai Staria","ICE",104,59,150,85,51,27,41,97,46,71,84,107,46,50,58,121,63
"AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","Toyota","Toyota Hilux","ICE",65,44,70,51,16,35,30,21,19,14,17,17,19,21,23,6,35
"NEW SOUTH WALES","Small SUV","Mercedes-Benz Cars","Mercedes-Benz GLA-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
"VICTORIA","Small Car","Nissan","Nissan Leaf","BEV",28,25,29,7,20,40,21,12,30,43,39,30,16,2,0,0,0
"VICTORIA","Small Car","Mitsubishi","Mitsubishi Mirage","ICE",122,13,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Large Car","Maserati","Maserati Ghibli","ICE",12,15,15,3,0,6,1,1,0,1,3,0,1,0,0,0,0
"NEW SOUTH WALES","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLC-Class Coupe","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"NORTHERN TERRITORY","Medium SUV","Nissan","Nissan X-Trail","Hybrid",0,0,0,1,2,2,6,2,5,7,3,5,3,8,5,5,9
"WESTERN AUSTRALIA","Medium SUV","Skoda","Skoda Karoq","ICE",8,6,15,16,22,18,25,12,8,16,7,6,11,5,9,17,9
"NEW SOUTH WALES","Ute (4WD)","Toyota","Toyota Hilux","ICE",3187,3704,3657,3053,2483,3258,3781,4077,3360,3468,3297,2411,2567,3460,3146,2225,2262
"TASMANIA","Ute (2WD)","Kia","Kia Tasman","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"NEW SOUTH WALES","Large Car","BMW","BMW 7 Series","ICE",2,10,10,7,10,9,8,6,1,6,4,5,3,3,3,2,5
"WESTERN AUSTRALIA","Medium SUV","Genesis","Genesis GV70","BEV",0,0,0,1,3,3,0,0,1,1,0,0,0,2,2,0,1
"QUEENSLAND","Van","Fiat Professional","Fiat Scudo","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"SOUTH AUSTRALIA","Small SUV","Lexus","Lexus UX","ICE",6,8,5,4,4,11,9,7,4,3,0,0,0,0,0,0,0
"TASMANIA","Van","LDV","LDV G10/G10+","ICE",14,9,16,14,13,24,15,18,19,18,12,6,8,8,10,6,3
"TASMANIA","Large SUV","Skoda","Skoda Kodiaq","ICE",2,17,30,19,14,17,20,23,14,13,7,6,6,2,5,4,8
"SOUTH AUSTRALIA","Sports Car","Audi","Audi TT","ICE",0,0,0,0,1,4,2,1,2,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Large Car","BMW","BMW 5 Series","PHEV",0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,1
"QUEENSLAND","Large SUV","Jaguar","Jaguar F-Pace","ICE",9,28,15,6,8,12,9,43,27,21,34,11,15,22,7,3,1
"QUEENSLAND","Large Car","Mercedes-Benz Cars","Mercedes-Benz E-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"QUEENSLAND","Sports Car","Toyota","Toyota GR86 / 86","ICE",0,0,21,19,23,66,61,61,56,7,24,34,44,26,52,43,41
"VICTORIA","Small SUV","Mercedes-Benz Cars","Mercedes-Benz GLA-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386
"VICTORIA","Large Car","Maserati","Maserati Quattroporte","ICE",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Small Car","Subaru","Subaru WRX","ICE",0,29,71,64,69,40,37,59,22,46,40,26,22,47,33,29,15
"NEW SOUTH WALES","Large SUV","Porsche","Porsche Cayenne Wagon","PHEV",6,13,5,13,7,1,0,0,33,17,18,16,0,0,0,0,17
"VICTORIA","Medium SUV","Audi","Audi Q4","BEV",0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","Genesis","Genesis G70","ICE",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"QUEENSLAND","Van","Hyundai","Hyundai Staria Load","ICE",157,273,178,98,136,134,109,69,174,248,169,187,150,159,156,132,129
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Honda","Honda Civic","ICE",1,1,2,4,9,3,6,4,5,2,1,0,3,0,1,0,0
"SOUTH AUSTRALIA","Large SUV","Porsche","Porsche Cayenne Coupe","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"WESTERN AUSTRALIA","Ute (4WD)","Mazda","Mazda BT-50","ICE",291,279,196,199,232,351,246,235,252,223,194,245,250,273,236,215,206
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Zeekr","Zeekr X","BEV",0,0,0,0,0,0,0,0,0,0,0,0,15,8,17,7,0
"SOUTH AUSTRALIA","Large SUV","KGM","KGM Rexton","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,43,49,22,13
"SOUTH AUSTRALIA","Small SUV","MINI","MINI Countryman","PHEV",1,4,3,1,4,5,7,4,1,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Sports Car","Lotus","Lotus Emira","ICE",0,0,0,0,4,4,8,3,3,3,1,1,4,2,2,0,1
"QUEENSLAND","Medium SUV","Genesis","Genesis GV70","BEV",0,0,1,10,5,4,1,3,0,2,0,0,0,0,2,1,2
"TASMANIA","Small SUV","Hyundai","Hyundai Venue","ICE",45,23,34,15,33,27,11,34,25,27,29,31,22,33,20,27,19
"SOUTH AUSTRALIA","Medium SUV","Nissan","Nissan Ariya","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5
"SOUTH AUSTRALIA","Large SUV","Mercedes-Benz","Mercedes-Benz EQS SUV","BEV",0,0,0,0,0,0,3,2,0,5,3,1,1,1,5,1,0
"WESTERN AUSTRALIA","Large SUV","Hyundai","Hyundai Palisade","ICE",107,82,73,83,76,69,70,79,59,60,44,53,43,32,39,12,5
"WESTERN AUSTRALIA","Small SUV","CUPRA","CUPRA Formentor","PHEV",0,0,1,2,4,10,13,17,14,18,12,19,17,2,7,27,34
"TASMANIA","Medium SUV","Volvo Car","Volvo XC60","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"QUEENSLAND","Large SUV","Hyundai","Hyundai Santa Fe","Hybrid",0,0,0,59,62,100,82,64,34,258,262,270,256,256,283,196,228
"QUEENSLAND","Large Car","Mercedes-Benz","Mercedes-Benz EQS","BEV",0,0,11,2,0,2,2,9,0,0,0,0,0,0,0,1,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Volkswagen","Volkswagen Tiguan Allspace","ICE",4,24,26,44,57,43,30,33,48,18,16,25,24,25,15,1,0
"NEW SOUTH WALES","Medium SUV","Toyota","Toyota RAV4","ICE",507,1041,302,739,428,339,287,158,209,215,220,66,11,4,0,0,0
"VICTORIA","Small SUV","Subaru","Subaru Crosstrek","Hybrid",0,0,0,0,0,21,35,95,67,59,41,41,34,33,64,56,42
"SOUTH AUSTRALIA","Ute (4WD)","GWM","GWM Cannon/Cannon Alpha","Hybrid",0,0,0,0,0,0,0,0,0,3,5,6,9,10,0,0,0
"TASMANIA","Large SUV","Lexus","Lexus RX","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","LDV","LDV D90","ICE",12,12,1,6,8,4,6,4,6,2,8,1,5,6,5,7,2
"SOUTH AUSTRALIA","Large SUV","Volkswagen","Volkswagen Touareg","ICE",5,22,27,36,16,30,19,16,5,18,24,17,16,16,17,9,6
"WESTERN AUSTRALIA","Large SUV","Audi","Audi Q8","ICE",3,5,10,5,6,11,7,10,9,3,5,9,11,8,10,14,7
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","Toyota","Toyota Landcruiser PU/CC","ICE",13,15,10,5,6,9,9,13,13,13,10,10,8,13,13,5,4
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Lamborghini","Lamborghini Coupe/Conv","ICE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Chery","Chery C5/E5 & Omoda 5","ICE",0,0,0,0,0,29,9,9,7,11,5,10,8,12,3,2,1
"SOUTH AUSTRALIA","Large SUV","Mercedes-Benz","Mercedes-Benz G-Class","ICE",7,46,5,2,8,9,18,18,10,8,5,12,4,11,16,17,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Kia","Kia Sorento","PHEV",0,1,1,0,4,5,8,8,0,0,0,0,7,3,0,8,0
"NEW SOUTH WALES","Small SUV","Kia","Kia Niro","PHEV",7,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Sports Car","Ford","Ford Mustang","ICE",0,3,3,2,1,3,0,0,1,0,4,3,5,8,3,3,5
"QUEENSLAND","Van","Volkswagen","Volkswagen Transporter","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TASMANIA","Small SUV","CUPRA","CUPRA Ateca","ICE",0,0,0,0,0,0,1,4,3,1,3,3,1,1,0,0,3
"VICTORIA","Sports Car","Mazda","Mazda MX5","ICE",20,20,34,28,58,31,14,82,49,39,41,37,60,61,52,73,41
"VICTORIA","Medium Car","Jaguar","Jaguar XE","ICE",4,7,2,0,5,6,1,0,2,9,10,2,0,1,0,0,0
"SOUTH AUSTRALIA","Large SUV","Chery","Chery Tiggo 9","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24
"QUEENSLAND","Medium SUV","BYD","BYD Sealion 6","PHEV",0,0,0,0,0,0,0,0,0,133,574,601,471,438,457,373,362
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Subaru","Subaru XV","ICE",22,50,28,38,20,0,0,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Small Car","Honda","Honda Civic","ICE",19,16,11,15,19,16,21,41,26,16,11,7,12,1,5,4,0
"QUEENSLAND","Small SUV","Renault","Renault Megane E-Tech","BEV",0,0,0,0,0,0,0,0,10,24,9,13,25,3,7,4,5
"NEW SOUTH WALES","Large SUV","Audi","Audi Q8","ICE",30,73,57,34,28,87,78,52,75,41,47,45,43,44,59,49,36
"QUEENSLAND","Large SUV","BMW","BMW X5","PHEV",2,3,7,2,2,4,5,2,2,5,7,9,7,9,9,8,9
"WESTERN AUSTRALIA","Large SUV","Volkswagen","Volkswagen Passat Alltrack","ICE",0,0,2,2,2,4,3,3,2,3,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Small SUV","Leapmotor","Leapmotor B10","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
"SOUTH AUSTRALIA","Large SUV","Jaguar","Jaguar F-Pace","ICE",4,6,9,3,2,3,3,6,5,6,3,1,1,4,3,0,0
"TASMANIA","Medium Car","Mercedes-Benz Cars","Mercedes-Benz C-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"WESTERN AUSTRALIA","Large Car","BMW","BMW i7","BEV",0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0
"WESTERN AUSTRALIA","Small SUV","Nissan","Nissan Juke","ICE",32,34,24,1,29,28,21,27,36,23,19,16,21,15,14,14,11
"SOUTH AUSTRALIA","Large SUV","BMW","BMW X5","PHEV",0,2,2,5,2,4,0,2,0,1,2,1,1,4,2,4,2
"WESTERN AUSTRALIA","Medium SUV","Omoda Jaecoo","Jaecoo J7","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"VICTORIA","Large SUV","Denza","Denza B8","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"NEW SOUTH WALES","Small SUV","Toyota","Toyota C-HR","ICE",432,516,334,247,181,207,258,24,1,0,0,0,0,0,0,0,0
