OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"149 Coward St, Sydney, 2020",Exploren,1,AC,22 kW,-33.92550655,151.1938829,Bayside Council,2020,Existing Destination Chargers
,,"1498 Cullinga Rd, Wallendbeen, 2588",Exploren,1,AC,6 kW,-34.5443564,148.1668368,Cootamundra-gundagai Regional Council,2588,Existing Destination Chargers
,,"1-5 Capper St, Tumut, 2720",Tesla,2,AC,22 kW,-35.29527332,148.2151982,Snowy Valleys Council,2720,Existing Destination Chargers
,,"15 Chancellors Dr, Thrumster , 2444",Tesla,12,DC,250 kW,-31.4577518,152.8267908,Port Macquarie-Hastings Council,2444,Existing Fast Chargers
,,"15 Edwin Flack Ave, Sydney, 2127",Tesla,2,AC,22 kW,-33.84590095,151.0608609,"Parramatta, Council of the City of",2127,Existing Destination Chargers
,,"15 Greenwich Rd, Greenwich , 2065",EVX,2,AC,22 kW,-33.8255586,151.187957,Lane Cove Municipal Council,2065,Existing Destination Chargers
,,"15 Little Street, Sydney, 2066",Exploren,1,AC,22 kW,-33.81460665,151.1713023,Lane Cove Municipal Council,2066,Existing Destination Chargers
,,"15 Merriville Rd, Sydney, 2155",JOLT,2,DC,25 kW,-33.70040345,150.9283123,Blacktown City Council,2155,Existing Fast Chargers
,,"15 Merriville Rd, Sydney, 2155",JOLT,2,DC,25 kW,-33.70051756,150.9281081,Blacktown City Council,2155,Existing Fast Chargers
,,"15 Mort St, Port Macquarie, 2444",Tesla,2,AC,22 kW,-31.43157062,152.8964765,Port Macquarie-Hastings Council,2444,Existing Destination Chargers
,,"15 Ridge St, Sydney, 2060",Evie,4,DC,75 kW,-33.83274979,151.2064264,North Sydney Council,2060,Existing Fast Chargers
,,"15 Victoria St, Sydney, 2019",Exploren,1,AC,22 kW,-33.94613218,151.2075586,Bayside Council,2019,Existing Destination Chargers
,,"15 Victory St, Braidwood, NSW 2622, Australia",NRMA,4,DC,50 kW,-31.4988197,145.8375768,Queanbeyan-Palerang Regional Council,2835,TfNSW Regional
